,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
4175, 74B DUXTON ROAD TANJONG PAGAR CONSERVATION AREA SINGAPORE 089533 ,74B,TANJONG PAGAR CONSERVATION AREA,1.278267,103.843035,89533,DUXTON ROAD,29081.34019,28969.7889
111524, 121 NEYTHAL ROAD SINGAPORE 628606 ,121,NIL,1.326697,103.697098,628606,NEYTHAL ROAD,12839.99457,34325.30082
132542, 7 THONG SOON AVENUE SPRINGLEAF GARDEN SINGAPORE 787434 ,7,SPRINGLEAF GARDEN,1.397276,103.818757,787434,THONG SOON AVENUE,26379.44547,42129.22278
63983, 41 JALAN ULU SIGLAP OPERA ESTATE SINGAPORE 457194 ,41,OPERA ESTATE,1.315939,103.927222,457194,JALAN ULU SIGLAP,38450.53328,33135.59317
35176, 24 MOUNT ROSIE ROAD SINGAPORE 308068 ,24,NIL,1.322517,103.833721,308068,MOUNT ROSIE ROAD,28044.75549,33862.77706
93196, 125 SERANGOON GARDEN WAY SINGAPORE 556027 ,125,NIL,1.365049,103.8629,556027,SERANGOON GARDEN WAY,31292.05588,38565.74584
77965, 6 PASIR RIS LANE PASIR RIS BEACH PARK SINGAPORE 519175 ,6,PASIR RIS BEACH PARK,1.381266,103.947258,519175,PASIR RIS LANE,40680.06463,40359.16441
93410, 8 PORTCHESTER AVENUE SERANGOON GARDEN ESTATE SINGAPORE 556292 ,8,SERANGOON GARDEN ESTATE,1.365658,103.865612,556292,PORTCHESTER AVENUE,31593.92641,38633.07803
46490, 692 GEYLANG ROAD SIAN CHAY MEDICAL INSTITUTION 692 GEYLANG BRANCH SINGAPORE 389612 ,692,SIAN CHAY MEDICAL INSTITUTION 692 GEYLANG BRANCH,1.314634,103.890758,389612,GEYLANG ROAD,34392.48396,32991.18392
82885, 8 SERANGOON TERRACE ARDISIA GARDENS SINGAPORE 535753 ,8,ARDISIA GARDENS,1.347941,103.877411,535753,SERANGOON TERRACE,32907.02264,36673.98887
